A LITTLE	piši
DRIP (EMIT LIQUID)	čuma/šutu
DRUM	tinya
DRUNK	matʂa/šinka
DRY	čaki
DULL	mutu
DYE	tuʎpu
EAGLE	anka
EAR	rinri
EARTH (SOIL)	aʎpa
EAT	ami/miku/rakra
EGG	ruru/runtu
EIGHT	pusaq
EMBERS	quʎi/šanša
EMBRACE	uqʎa
ENEMY	awqa
EXCHANGE	ranti
EXTINGUISH	quʎu
EYE	ñawi
FACE	qaqʎa
FAECES (EXCREMENT)	aka/wanu/wiqa
FALL	rata
FAMILY	ayʎu
FAR	karu
FART	supi
FAST	utqa
FAT (ORGANIC SUBSTANCE)	wira/wiswi
FATHER	yaya
FEAR (BE AFRAID)	wana/manča
FEED	unka
FEEL	musya
FEMALE	tʂina
FIELD	tʂakra
FILL	wina
FIND	tari
FINISH	tuku
FIRE	nina
FIREPLACE	tuʎpa
FIREWOOD	yamta
FISH	čaʎwa
FIVE	pičqa
FLAT	pata/ʎapča/pampa
FLEA	piki
FLEE	ayqi
FLOAT	wampu
FLOWER	sisa/wayta
FLUTE	qina/pinkuʎu
FOAM	pusuqu
FOG	pukuta
FOLD	pata
FOOD	mirkapa/šaqta
FOOT	tʂaki
FOOTPRINT	yupi
FOR A LONG TIME	una
FOREHEAD	paqtʂa
FORGET	qunqa
FOX	atuq
FRIEND	masi
FRUIT	šawintu
FULL	hunta
FURROW	šuka/sipu
GARBAGE	qupa
GATHER	huñu/huqa/šuntu
GET	hapi
GET LOST	činka
GIRL	pašña/šipas
GIVE	aypa/aypu/qu/šuña/haywa
GLASS	qišpi
GO	haku/ri
GOLD	quri
GOOD	aʎi
GOOSE	wačwa
GOURD	mati/puru
GRANDCHILD	wiʎka
GRASP	apta/čari
GRASS	qaču/qiwa/qura/čampa/wayʎa
GRAVEL	kaʎka/kaʎki
GREY	suqu/uqi
GRIND	aqa/kuta/qunču
GRINDSTONE	maray/quʎuta
GROW	wiña
GUEST	qurpa
HAIL	čikči
HAIR	aqča
HAIR (BODY)	šapra
HAND	maki
HANG	wayu
HAPPY	kuši
HARD	anaq
HAT	čuku
HATE	tʂiqni
HAVE DIARREA	qitʂa
HAVE SEX	sakwa
HAWK	waman
HAY	uqša
HE OR SHE OR IT	pay
HEAD	uma
HEAP	tawqa
HEAR	uya
HEART	šunqu
HEAVY	ʎasa
HELP	yana
HERD (SOMETHING)	qati
HIDE (CONCEAL)	paka
HIRE	minka
HIT	maqa/taka/saqma/taqʎa
HOLE	tuqu/pukru/utʂku
HORIZONTAL	kinray
HORN (ANATOMY)	waqra
HOT	rupa/quñi
HOUSE	wasi
HOW MUCH	hayka
HUNDRED	patʂak
HUNGER	maʎa
HUSBAND	qusa
HUT	čukʎa
I	ñuqa
ICE	qasa
INSERT	sati
INSIDE	ruri
INTESTINES	aqaʎi/čunčuʎi
ITCH	šiqši
JAW	kaki
JOIN	paqta/tinki
JOINT	muqu
JUG	raki/urpu/puyñu/waku
KICK	hayta
KILL	sipi
KISS	muča
KNEE	qunqur
KNOT	murku
KNOW (SOMEBODY)	riqsi
KNOW (SOMETHING)	yatʂa
LACK (NOT HAVE)	iʎa
LADLE (WATER)	wišʎa
LAKE	qutʂa
LAME	hanka
LAUGH	asi
LAY EGGS	watʂa
LAZY	qiʎa
LEAD (GUIDE)	puša
LEAF	rapra
LEFT	ičuq
LEG	tʂanka
LICK	ʎaqwa
LIE (MISLEAD)	ʎuʎa/kaski
LIGHT (RADIATION)	akči
LIME (MATERIAL)	išku
LIP	wirpa
LIVER	ñatin
LONG	suytu
LOOK	qawa
LOOK FOR	maska
LOOSE	waya
LOUSE	usa
LOVE	kuya/muna/wayʎu
LUNG	puywan
MAIZE	muti/sara/upi/čučuqa/čuʎpi/čuqʎu/kaspa/muruču
MAKE	rura
MALE	qari/uʎqu
MANY	ačka
MEASURE	tupu
MEAT	ayča
MEET	tinku
MELT	čuʎu
MIDDLE	tʂawpi
MIX	čapu
MOLAR TOOTH	waqu
MOON	kiʎa
MOSQUITO	čuspi
MOUNTAIN	urqu
MOUTH	šimi
MOVE	kuyu
MUD	ʎuši/ʎuta/ʎuqʎa
MUSHROOM	paku
MUTE	upa
NAME	šuti
NARROW	kitʂki
NASAL MUCUS (SNOT)	ʎawsa
NAVEL	pupu
NECKLACE	waʎqa
NEEDLE (FOR SEWING)	watupa/yawri
NEST	qisa
NETTLE	išanka/itana
NEW	mušuq
NIGHT	tuta
NINE	isqun
NO	mana
NOSE	sinqa
NOW	kunan
OLD (USED)	mawka/murqu
OLD MAN	awki
OMEN	čiki/tapya
ONE	suk
OPEN	kitʂa
ORDER	kama
PAIN	nana
PAN	kaʎana
PEEL	ʎušti/qara/šipra/tipʎa
PENIS	uʎu
PERSON	runa
PICK	paʎa
PIERCE	tipa/timpi
PILE UP	qutu
PILLOW	sawna
PIN	tipki
PINCH	tipši
PITCHFORK	paʎqa
PLAIN	puna/saʎqa
PLAIT OR BRAID OR WEAVE	šimpa
PLANT (VEGETATION)	yura
PLATE	puku/anqara
PLAY	pukʎa
PLOUGH	yapu/čakma/takʎa
POINT (WITH FINGER)	tupši
POOR	wakča
POST	čuqu
POT	manka/maqma
POTATO	čuñu/papa/čawča/wayru
POUCH	čuspa
POUR	taʎi/wiši/hirpu/hitʂa/tašnu
PREGNANT	tʂitʂu
PULL	aysa/čuta
PULL OFF (SKIN)	ʎuču
PUMA	puma
PUSH	tanqa
PUT	tʂura
RAG	ʎačapa
RAIN (PRECIPITATION)	tamya
RAIN (RAINING)	para
RAINBOW	tʂirapa
RAW	tʂawa
RED	puka/čumpi
REED	wiru/šuquš
RETURN HOME	kuti
RIBBON	winča
RIGHT HAND	aʎawqa
RIPE	puqu
RIVER	mayu
ROAST OR FRY	anka/kusa/kamča/kanka/matʂka
ROLL	qutʂpa/sinku
ROOF	qata/čaqʎa
ROOT	sapi
ROPE	waska
ROT	ismu
ROUGH	qatʂqa
ROUND	uyru
RUB	qaqu
SAD	ʎaki
SALT	katʂi
SAND	aqu/tiyu
SATIATED	saksa
SAY	ni
SCATTER (SEEDS)	šikwa
SCRAPE	šika
SCRATCH	atʂpi/ratʂi
SEE	riku
SEED	muhu/muru
SEEDLING	maʎki
SELF	kiki
SELL	qatu
SEND	katʂa
SEPARATE	raki
SEVEN	qantʂis
SEW	sira
SHADE	ʎantu
SHAKE	čukču/tapši
SHAME	pinqa
SHAWL	kata/puʎu/ʎikʎa
SHIT (DEFECATE)	isma
SHOUT	qaya/qapa
SICK	unqu
SIDE	waqta
SILVER	quʎqi
SISTER	pani
SIT	tiya
SIX	suqta
SKIN	ʎupi
SKIRT	miqʎa
SLAUGHTER	pišta
SLEEP	puñu
SLING	riwi/waraka
SLIP	ʎučka/ʎutpi/ʎušpi/sutʂka/sutʂu
SMALL	akapa/qinti/takša/učuk
SMELL (PERCEIVE)	mutki
SMELL (STINK)	ašna/punya
SMOKE (EXHAUST)	qušñi
SNAIL	čuru
SNAKE	amaru
SNOW	rasu
SOAK (VERB)	nuyu
SOFT	ʎampu
SOME	wakin
SONG	taki/yarawi/waynu
SORE	patku
SOUP	tʂupi
SOUR	pučqu
SOW SEEDS	tarpu
SPEAK	rima
SPICY	haya
SPIDER WEB	ʎika
SPIN	miʎu/piruru
SPINDLE	pučka
SPIT	tuqa
SPLASH	čaʎa/čaqču
SPLIT	waka/čiʎpi/čiqta
SPOT	ana/muru/mirka
SPREAD OUT	masa/manta/mašta/mismi
SPRING OR WELL	pukyu
SQUEEZE	ʎapi/qapi
STAB	tukši/watʂi
STAND	šaya
STAND UP	hatari
STAR	iʎa/quyʎur
STEAL	suwa
STEP (VERB)	itʂi/saru
STICK	ʎuqi/kašpi
STINGY	mitʂa
STIR	aywi
STONE	rumi
STONE OR ROCK	qaqa/ranra/wanka
STRAIN	šuyšu
STRENGTH	kaʎpa
STRONG	sintʂi
STUTTER	akʎu
SUCK	šuqu
SUN	inti
SUPPORT (OF OBJECT)	qimi/takya
SURPASS	ʎaʎi
SWALLOW	miʎpu
SWEAT (PERSPIRE)	humpi
SWEET	miški
SWELLING	amuqʎu/punki
TAIL	tʂupa
TAKE	qitʂu
TASTE (SOMETHING)	maʎi
TEAR (OF EYE)	wiqi
TEAR (SHRED)	ʎiki
TELL	kuna/wiʎa
TEN	tʂunka
TENDON	anku
TESTICLES	quruta
THAT	čay
THICK	pipu/rakta/sanku
THIN (OF SHAPE OF OBJECT)	ʎañu
THIS	kay
THORN	kaša/kička
THOUSAND	waranqa
THREAD	qaytu
THREE	kimsa
THRESH	išku/murka/waqta
THROAT	šanqa/tunquri
THROW	wika/wišču
TICK	amaku
TIE	kipu/šawa/wata
TIRED	šayku
TOAD	hampatu
TOGETHER	kuska
TONGUE	qaʎu
TOOTH	kiru
TOUCH	čapra/ʎamka
TOWN	marka
TRAP (CATCH)	tuqʎa
TREE	muʎi/kiswar/satʂa
TREE TRUNK	kuʎu
TUMBLE (FALL DOWN)	mitka
TURN (SOMETHING)	pakča/tikra
TURN AROUND	muyu
TWIST	arwi/qiwi/kawpu/wikʎu/wiksu/wiqru/wištu
TWO	iškay
UNRIPE	ʎuʎu
UNTIE	paska
UP	hana/wičay
UPPER ARM	rikra
URINE	išpa
VAGINA	raka
VERY	anča
VISIT	watu
VOICE	kunka
VOMIT	aqtu
WAIST	wiqaw
WAIT (FOR)	šuya
WAKE UP	riktʂa
WALK	puri
WALKING STICK	tawna
WALL (OF HOUSE)	pirqa
WASH	maqči/mayʎa/muqči/taqša
WATER	čuya/yaku
WATERFALL	paqča
WEAVE	awa/awʎi/mini/iʎawa/kaʎwa
WET	huqu
WHAT	ima
WHERE	may
WHISTLE	šuka
WHITE	yuraq
WHO	pi
WIND	wayra
WOMAN	warmi
WOOD	qiru
WOOL	miʎwa
WORK (LABOUR)	ayni
WORLD	pača
WORM	kuru
WRAP	kinču
WRITE	qiʎqa
WRONG	panta
YEAR	wata
YELLOW	qarwa
YES	ari
YESTERDAY	qayna
YOU	qam
YOUNG MAN	wayna
YOUNGER BROTHER	šuʎka
